net,length_um
net1,137.43
net3,131.52
sclk,77.9
net2,65.56
net10,34
net8,33.02
clknet_1_0__leaf_sclk,24.98
net5,23.08
data[2],22.06
net7,20.2
_00_,19.42
clknet_0_sclk,19.26
net6,18.74
data[4],17.76
net4,16.4
clknet_1_1__leaf_sclk,14.3
_03_,12.16
net16,12.16
_10_,12.04
_05_,11.74
sdi,10.32
data[1],9.76
reset,9.52
ss,9.52
_09_,9.42
data[5],8.96
data[6],8.96
_12_,8.9
net11,8.72
net9,8.7
data[3],8.5
data[0],8.38
_11_,7.18
_01_,5.92
_13_,5.38
_08_,5.34
net14,5.34
net15,3.88
net17,3.3
net13,3.22
_04_,2.86
_07_,2.5
_02_,2.04
net12,1.48
_06_,1.36
